AGE,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
48,543640,581954,593137,605576,613031,660733,654057,691099,664060,701433,694523,676612,647714,507924,401647,377249,477596,740905,711377,713743,719678,733449,719426,720301,728354,720821,714251,771447,724140,705130,713497,713478,719160,692731,715613,759566,770116,772280,694251,683740,679954,665342,641717,818494,806254,816594,773595,766299,732104,727605,726688,756856,768632,781994,791970,800168,840980,864338,892304,911060,942201,1004959,991370,991110,979534,974118,979137,952392,959708,946747,939510,946880,912655,873214,839292
49,555419,539832,578397,589329,601892,608722,656413,649658,686201,660779,697532,689270,671343,643430,505084,399145,374919,474320,737422,706905,708401,717387,729303,717002,718019,725532,718393,711847,766509,721877,702822,710059,710229,716058,690006,712856,756881,767638,770080,692563,685336,677703,663261,639669,815210,802713,813470,771242,764467,730519,725702,726874,760510,771187,782789,793106,804558,844208,865458,893628,911129,942955,1004792,989559,989111,977856,972309,977845,951065,955531,948070,941186,948171,913440,873768
50,522842,551052,535359,574651,585083,597803,603928,652035,646004,681770,657656,691823,684473,666777,638333,500695,395953,371994,471137,733902,701966,706118,714892,724838,714188,715315,722561,715579,709171,761399,719231,699140,706402,706993,712984,687156,710120,754166,764972,767797,693970,682689,675505,660870,637470,811509,799056,810236,768579,762575,728540,725013,729946,762833,771641,783028,797252,807580,845513,866805,893523,911755,942604,1002737,987355,987086,975914,970952,976325,946253,956817,949235,942134,948781,913500
51,524932,519246,547191,531822,570750,580120,593348,599476,647195,641156,676781,654412,687363,678798,660875,633356,497197,392853,368519,466858,730439,699357,703514,711998,719942,710970,712468,719276,712514,706256,756196,715147,695451,702835,703571,709871,684248,707379,751406,762466,769753,691373,680089,672934,658293,635041,807663,795353,806894,765919,760355,727588,726982,731749,762960,771738,786009,800345,808858,846821,866643,893905,911065,940784,1000098,985049,984888,974426,968981,970580,947707,957708,950012,942225,948616
52,505552,520663,515492,543186,526817,566134,575588,588938,594731,642329,636808,672458,650867,681644,672953,655960,629026,492276,388831,365936,463381,724821,696501,700626,708661,714690,707501,709218,715645,709205,702881,751633,710899,691766,699165,700227,706636,681410,704479,748661,764153,766682,688732,677307,670287,655353,632479,803482,791333,803327,763066,759104,728850,727562,731465,762647,774091,788034,801894,810088,846619,866845,893005,908854,938229,997621,982355,983002,972528,962254,972093,948192,958178,949916,941816
53,480550,500989,517355,511490,538942,522112,560162,570878,584370,590087,637531,633524,668725,647115,675592,666758,650492,623417,487974,385405,362587,461021,718780,693235,697259,704896,709276,703915,705732,711736,705358,697998,746791,706575,688017,695500,696638,703473,678416,701585,749750,760791,763393,685817,674369,667459,652232,629760,799150,787263,799562,762286,759768,729127,726386,730791,764207,775518,788513,803336,809882,846433,865620,890949,906328,935698,994884,980231,980815,965612,963727,972448,948084,957742,949330
54,477255,476671,496259,513734,507172,533779,516936,555081,565170,579577,584353,633795,630459,663857,642687,669213,660558,643451,617401,482970,382015,360305,458425,712401,689555,693424,700893,703435,699930,701987,707669,700194,692684,741896,702153,684122,691604,693013,700224,675379,701663,745833,757281,759913,682886,671066,664374,649037,626831,794850,783318,798825,763190,759427,727758,724940,731616,765031,775547,788861,803027,809359,845199,863111,888056,903469,932941,992363,978055,972976,966893,963882,972119,947472,956548
55,461760,472426,471967,491592,509603,501549,528877,511660,550709,559788,574297,580520,629846,626609,658695,638974,662504,653732,636560,611305,478086,379685,357857,455617,705531,685595,689509,696508,697206,695441,697765,702033,694492,687429,736837,697469,680028,687723,689333,696685,675385,697834,741871,753423,756193,679648,667543,661158,645584,623809,790524,782704,799341,763120,757590,725952,724712,732071,764805,775430,787910,802167,807908,842569,860092,885121,900730,930364,990171,969939,974877,966681,963121,971021,945818
56,431249,455710,468346,467007,485947,505092,496807,523569,506534,544762,553921,570284,576002,625398,622626,653032,633531,655306,646574,630466,605330,474985,377079,355176,452398,698024,681145,685107,691806,690619,690600,691318,695963,688819,681956,731528,692702,675821,683616,685604,696433,671180,693735,737697,749251,752362,676252,663831,657652,641977,620521,789327,783063,799078,761612,755456,725107,724131,731473,764271,774220,786720,800398,804978,839440,856993,882238,898112,927825,981264,971430,974129,965559,961728,968900
57,419203,426014,451143,462629,462069,480963,500193,491091,517919,500317,538812,549630,566373,572333,620731,618021,646945,628285,647708,638866,623136,600461,471536,374213,352076,448766,690277,676267,680282,686488,683575,683963,684709,689782,682905,676319,726101,687779,671625,679362,684841,692099,666869,689223,733064,745009,748109,672571,659910,653966,638204,618633,788772,782730,797469,759939,753940,723605,722321,730457,762656,772508,784350,797381,801557,836111,853804,879334,895469,919463,982625,970213,972927,963691,959289
58,417849,413882,420703,445800,457258,455405,474436,494695,485642,511688,493705,534053,545348,561198,566912,616144,612981,640375,621676,639363,630917,617825,595109,467692,371075,348919,444893,682195,671070,674925,681035,676311,677027,678098,683186,676780,670553,720566,682720,667111,678272,680015,687410,662454,684286,728057,740503,743615,668649,655825,650120,636342,617113,787682,781196,795438,758644,752421,721625,720533,728427,760620,769691,780974,793763,798005,832470,850679,876379,886357,919985,981321,968492,970987,960851
59,407843,412808,408629,415442,440231,450739,449177,467922,490198,479814,504653,489524,528745,540155,556108,561298,610946,607126,632870,615528,631251,624983,611988,589422,463360,367579,345555,440799,673630,665340,668006,673235,668613,669949,671179,676594,670542,664767,714962,677460,665501,672905,674952,682447,657702,678894,722816,735666,738938,664609,651389,647806,634638,615061,785577,779273,793732,757157,749993,719456,717934,726109,757655,766096,777007,789831,794366,828928,847647,866942,886218,918257,978889,965980,967832
60,397205,400838,406883,402870,408509,433788,443793,442795,461530,485109,473714,499403,484726,523543,534455,550858,555874,603846,599640,625741,608466,624180,618391,605501,582921,458537,363874,341854,436293,664260,657508,659932,665190,660846,662395,663981,669616,664072,658773,708914,674909,659482,667247,669469,677140,652419,673287,717271,730388,734115,660039,648612,645759,632601,612425,783136,777384,791875,754849,747089,716525,715114,722856,753862,761782,773056,785725,790780,825539,838134,866055,884349,915523,976090,962179
61,370895,390982,394749,400876,397249,401616,426408,437226,436275,454096,478425,468984,492865,479880,517739,528076,544088,549464,596358,593149,617676,599247,616616,611141,598383,575847,453372,359779,337824,431385,656668,648694,651260,657010,652647,654731,656523,662393,657561,652470,706105,668494,653274,661286,663571,671651,646856,667400,711338,725007,728898,656830,645570,643090,629845,609406,780578,775247,789171,751973,743741,713207,711376,718861,749154,757380,768463,781577,787331,815350,836655,863616,881283,912421,971673
62,386106,363635,384074,388616,394660,389880,393955,419105,429892,429024,446345,472891,462916,487122,473809,511088,521889,537620,541258,588955,585303,607878,589450,608636,603037,590700,568411,447967,355395,333432,427812,646916,639287,642497,648397,644313,646824,648839,655068,650667,648745,698546,661847,646916,654675,657170,665603,641003,661125,705109,719086,724951,653155,642041,639371,626686,606247,777754,772329,786022,748381,739579,709028,706848,714112,744596,752539,764192,777491,776787,813170,834107,860189,877932,907899
63,366276,378384,356431,377369,381284,386457,382334,385809,412419,421845,421458,437525,465482,457473,479880,466945,503949,514348,529415,533575,580407,574231,596998,579047,599668,594141,582466,560241,442029,350627,330028,420407,636565,629810,633447,639387,635622,638500,640996,647451,646047,641243,690608,654690,640206,647981,650433,659239,634991,654535,698806,714930,720429,649165,637991,635847,623377,603126,774308,769030,781756,743703,734434,703996,701841,709343,739734,747881,759731,766661,774017,809779,830316,856424,873184
64,358858,358093,370488,349621,370457,372655,378027,375345,378998,403378,413287,412383,428416,458888,450092,472710,460297,496222,505732,521233,525295,568099,562361,585640,567584,590048,585128,573848,551834,435571,344941,323937,412754,626188,619942,624146,630067,626708,629928,632877,642055,637636,633214,682141,647373,633042,640580,643294,652559,628694,647968,694592,710285,715412,644468,633619,631759,620054,599248,770265,764571,776235,738110,728804,698200,696611,703998,734624,743258,749164,763387,770439,805435,826119,851117
65,326068,350041,350197,362880,341402,361743,364005,369864,367391,369897,395055,404255,402724,418501,451794,443711,464732,452551,486644,497317,512266,513203,554877,549879,573055,555524,579903,575452,564560,542452,427387,338116,317340,404874,615383,609670,614493,620578,617442,621109,626693,632671,628592,624806,673226,639458,625343,632591,635878,645524,621927,643935,689912,705341,709970,639784,629213,627782,615886,594956,765230,758494,769765,732105,722535,692446,690949,698687,729584,732932,745177,759377,765585,800944,820389
66,326669,317412,341274,341181,354023,333075,352546,354294,361905,358680,361572,384505,393301,392904,407912,443554,436178,455987,443146,477820,487833,499096,500255,540863,536257,559688,543045,569200,565318,554317,532473,418509,330910,310871,396619,603999,599213,604453,610876,607945,614437,616490,622690,619220,615685,663707,631272,617220,624404,628161,638148,616249,639211,684862,699451,703867,634525,624651,623149,611422,590318,758422,751469,762719,725284,716222,686750,685459,693488,719124,728265,740517,754012,760740,794674
67,314727,316787,308136,332155,332657,343612,322522,343035,346149,352524,349622,351419,373105,382933,381577,397131,434864,426855,445083,434492,468191,474247,485325,486743,525725,521980,545986,530079,557341,554062,543002,520435,409077,323769,304120,388301,592411,588434,594093,600308,600286,603830,605761,612048,609127,606123,653952,622243,608604,616052,620010,631560,609823,633847,678546,692926,697351,628926,619153,617482,606259,584348,750428,744050,754814,717997,709213,680430,679502,682607,713134,722914,734510,748090,754207
68,287320,305705,307054,299364,322144,322501,333405,313505,333093,336382,343220,338917,340907,362178,370952,370595,385376,425778,416964,435203,425044,453916,459548,470807,471961,509935,507168,531576,516157,544697,542080,529770,507636,399492,316156,297071,379893,580576,577352,583184,591774,588697,592654,594632,600732,598468,596086,643204,612809,599563,607099,613096,624156,602936,627537,671737,685761,690670,622405,612840,611459,599574,577444,741832,735440,746468,710430,701821,673956,672631,677877,707562,716519,728206,741144
69,275574,278120,295171,297034,289353,310685,311042,322359,303673,323161,326157,331917,327918,330369,349995,359155,359070,372660,414448,407079,423914,411102,438448,444549,455048,456517,493526,491545,516675,501181,532019,527331,515403,494728,389507,308366,290067,371237,568313,565721,573860,579782,576623,580844,582745,588847,587191,585515,632014,603107,590165,599272,605109,616106,595250,620913,664431,678348,682827,615244,606065,603954,591984,570390,732301,726598,737434,702312,694484,667039,662989,671142,701445,710362,720654
70,265690,264787,266996,284809,285944,277773,298997,300239,312347,293347,312513,314749,320092,316473,318289,337389,346630,346083,357803,403268,396848,408687,395963,422601,428086,438834,440403,476531,475483,500508,485612,516607,511621,500877,481174,379382,300409,282748,362393,555680,555060,560936,567106,563881,568462,570091,576204,574860,574544,620654,593006,581286,590259,596738,607171,587040,613505,656651,669922,674165,607771,597855,595286,583984,562352,722568,716867,728090,694140,686526,656510,655511,663610,693601,702033
71,229932,254265,253280,256563,273115,273601,265594,287567,289487,300631,282441,299622,301805,308481,304134,306104,324140,332124,331306,344014,391811,380864,392356,380432,405466,410816,421990,423810,458946,458205,483799,469893,500123,495988,485590,467094,368992,292244,275210,353195,543861,541606,547408,553673,550451,555355,556602,562689,562308,563153,608768,582710,570940,580825,587383,598104,578185,605668,647846,660569,665058,598679,588705,586521,575250,554076,711884,706643,718819,684969,675032,647968,647055,655395,684554
72,225564,218837,241830,241971,245148,260124,259973,253272,275468,277211,288883,270376,286616,289154,295123,292191,293956,309428,317151,317176,329739,374133,363887,375395,363685,387430,393265,404697,406693,440071,439959,466960,453384,483370,479515,470112,452927,358281,283866,267360,343713,529065,527484,533145,539559,536346,541538,542115,548686,549547,551297,597073,570967,560459,570283,577468,587968,568916,596491,638137,650682,654284,588597,579300,576453,566025,544914,700442,696577,708347,672556,665198,638677,637963,646176
73,208238,213174,207650,230459,230540,231772,246819,247910,242597,262232,265385,275186,257972,273405,275095,281613,277964,279710,293843,302175,302782,315163,355200,346309,356963,345967,369185,375114,386480,388350,421669,422907,448586,436702,465859,462478,454304,438424,346966,274977,259026,333607,513382,512587,518081,524618,521509,526558,527325,534413,536257,539510,584056,558877,548666,558969,566919,577357,558227,586796,627641,638890,642389,578208,568288,565998,555637,535439,689079,685037,694417,661834,654487,629053,628019
74,194199,195564,200628,196096,218138,217121,219010,233775,235457,229116,248627,250388,259728,245343,258917,261288,266996,263489,263552,278280,287714,288478,299460,336011,327661,338265,328030,350468,356603,367191,369594,403350,404505,430401,419074,447432,445348,437884,423337,335176,265490,250395,322789,497141,496913,502359,508957,505601,511054,512042,519840,523687,525966,570584,545807,536610,547037,555296,565455,546804,575849,614915,626150,630060,566362,556967,554591,544806,525745,676292,670404,681669,650321,643256,618081
75,191252,182017,181757,188219,183903,203137,202816,205665,221756,221434,216980,233550,235577,245476,231743,244502,246416,251833,247986,249381,262741,272517,272725,283460,315124,308343,319028,309962,331082,336534,347354,351742,383720,386235,410950,401170,429141,427508,421507,407413,323205,255973,241339,311423,480083,480923,485792,492074,489092,495331,496567,506960,509272,512406,555667,532190,523333,534116,542475,552626,535123,562945,601241,613015,615828,554027,544466,542572,533883,514408,660239,656499,668377,637957,630573
76,171302,177448,167701,169632,176241,170507,189409,189873,193489,206524,207478,202258,218084,221254,229211,218515,229890,231588,235052,232791,234496,247366,256087,256671,266005,293859,288791,299507,291410,310459,316685,329039,332594,364482,366865,391378,382851,410627,409420,403975,392244,310327,245767,231877,299738,462039,463721,467914,474422,471838,478976,482210,492039,494784,497591,540163,517250,509360,519955,528587,539128,521467,549087,586884,597697,601204,540220,531505,530624,521003,500510,644868,641991,654399,623663
77,135722,156792,162234,155869,157305,160636,158307,175281,177231,179334,193295,192056,187471,203191,205409,213832,205298,213729,214842,219593,217536,219442,230953,239494,239246,248066,272683,269001,279748,271799,290923,298218,309426,314021,344028,347565,371624,364004,391874,390483,387028,375093,296482,235220,222160,287587,443056,445266,449434,456304,454349,463150,466005,477519,478925,482076,523527,501056,493751,505137,513868,523877,507003,534331,570235,581870,584625,525763,518346,515948,505823,486886,628734,626730,638744
78,123867,122586,142033,149604,143386,142263,147193,144931,162841,163105,166654,177844,176952,173439,185832,188929,197366,190021,197336,198861,203811,202194,203210,214728,221820,221894,230108,251347,249047,259081,251846,272205,278611,290762,294629,323539,327937,351545,345026,372029,372057,368420,357009,282179,224302,212024,274667,422874,426181,430665,436815,438348,445416,449619,461122,462496,465661,505719,483515,477223,489364,497244,507613,491887,517299,553415,564036,567636,511316,502187,499100,490627,473104,611888,609982
79,112930,111134,110131,129075,135623,127957,129057,133777,133163,148647,149986,151093,160620,161785,158236,171073,173682,180695,174639,180201,183110,187980,185448,187372,197141,203813,204623,212326,229867,228161,239249,233754,252071,260008,270827,275245,303217,308149,331397,325587,352918,352325,348760,338378,267493,212612,201472,261184,402276,406705,411233,417981,420126,428003,431965,444178,444663,447558,486136,465205,459929,471533,479630,490262,473983,500056,534369,545322,549844,493664,483845,482055,475187,458735,592954
80,80644,78133,78441,91943,92029,94757,92186,100356,103035,109509,121495,115538,123276,125286,133492,142937,138453,142897,141397,143037,158911,162935,165311,168217,168428,169857,172473,175767,181943,188227,205579,220544,214774,232820,240351,250904,255922,282174,288041,310120,306960,331764,331137,328546,319079,252541,200675,190088,247150,381090,384464,392198,396927,400986,408313,413695,425452,425072,428253,465001,446148,440802,452313,461054,470284,456104,480635,514429,526084,527760,474013,465351,464671,458650,442758
81,71889,69855,70516,81291,82196,84614,83178,89977,92690,97947,107939,103858,110145,112785,119366,127282,124786,128288,127591,129288,144043,147703,149886,151837,152298,154219,157283,160556,165673,172262,183200,188054,200532,197118,213191,220745,231676,236454,261599,267368,289180,286565,309615,309900,307989,299325,237022,188058,178559,233073,359466,364084,370177,375502,380230,388238,393366,404492,404055,407354,442519,425307,420843,432359,439915,450097,435869,460163,493871,502658,504385,453769,446495,446337,440403
82,63301,62066,62684,70945,72563,74703,74290,79683,82434,86528,94536,92391,97240,100183,105679,111782,110973,113743,113891,115667,129195,132489,134465,135524,136360,138731,142090,145248,149404,156141,160822,165464,169617,181828,178684,193956,201890,212335,217372,240854,246369,267768,265479,287426,288639,287212,278847,220463,175046,167034,218936,336403,341661,349795,352229,357273,366342,371395,382462,381487,386199,418846,403312,400186,409352,418373,427083,414713,439070,468561,477431,479584,433065,426933,426581
83,54931,54505,55328,61039,63326,65158,65509,69723,72461,75575,81647,80986,84868,87821,92099,97195,97460,99477,100477,102257,114547,117485,119257,119537,120677,123403,126971,130002,133266,140051,138436,143645,147165,152993,163369,160729,175720,183081,193608,197733,219155,225829,245453,244530,264993,266953,265745,257795,203559,162307,155570,203983,310893,320554,326920,329201,332517,340053,345716,356922,358602,362879,394704,380759,376316,386509,394210,403674,392934,413022,441720,450978,454504,411615,405556
84,47258,47137,48177,51710,54475,56040,57100,60178,62896,65044,69616,70146,72693,76080,79001,82745,84708,85908,87399,89301,100280,102865,104433,104053,105422,108410,112113,114990,117435,124177,116071,122486,125963,130870,136393,145360,143861,157636,165078,174437,178688,198616,204854,223299,223602,242900,244770,242980,236044,186923,149725,143552,187932,287262,296659,303300,305359,307757,314667,320860,329591,334025,339153,369558,354648,352595,361140,369736,379577,365962,386374,413542,424600,428808,387963
85,39975,40462,41440,43090,46081,47457,49178,51153,53851,55214,58373,60023,61331,64593,66890,69103,72094,73240,74967,76918,73061,76231,78321,82420,83524,84626,85369,87475,89583,88504,95556,100566,106361,110451,114750,120429,128567,127508,140472,147093,155814,160103,178032,184120,201770,202913,220376,221836,220316,214629,170871,136599,130661,172989,262574,273069,279256,281629,283459,290266,296097,303765,309266,314699,341216,329223,326547,335183,344257,349855,338706,358308,385886,397528,400477
86,33116,34230,35299,35288,38357,39506,41691,42867,45367,46101,48083,50488,51093,54009,55369,56779,60187,61062,63487,65308,62008,64716,66506,69454,70673,72084,73170,75130,76627,76302,81347,81430,85123,92067,95417,100024,106221,112218,112236,123420,127034,137962,141705,158051,164251,180594,181998,197386,198979,197824,194274,154349,122595,118539,156707,238273,248246,254370,257105,259529,265316,270045,278125,284028,287224,313435,301039,300229,308797,313617,320243,310018,330701,357314,368048
87,27184,28408,29500,28303,31347,32236,34834,35402,37562,37771,38771,41873,41736,44671,44927,45209,49542,49871,52900,54713,51741,54005,55510,57498,58775,60371,61699,63497,64470,64759,67180,69032,67568,71995,78380,81639,86779,92718,97421,97139,105349,110576,120527,123933,138767,144882,159749,160888,174547,176992,174697,172825,136395,110300,105876,140875,213370,222576,228402,232945,234297,238677,244281,252492,255800,261107,283301,273375,273406,277429,283396,289067,282375,302446,328096
88,22045,23380,24203,22226,25172,25774,28651,28701,30567,30397,30635,34078,33517,36151,35880,35147,39532,40025,43367,45092,42357,44220,45463,46671,47946,49631,51099,52720,53265,54013,52985,56120,57100,55866,59687,66253,69481,74393,80369,83040,82721,90286,94882,103880,107322,120755,125973,139271,140971,153094,155547,152658,149097,120745,97325,93855,124792,187685,195734,201579,207364,207767,212907,218748,224300,229190,232485,254237,245503,241985,246835,251833,259575,254964,274719
89,17542,19056,19658,17126,19893,20261,23167,22785,24425,24043,23749,27206,26410,28678,27897,26862,30814,31392,34931,36504,33962,35461,36461,37072,38281,39968,41477,42920,43131,44192,38808,42964,45416,47412,45043,48901,55779,58485,63539,68919,70006,69936,76218,80433,88512,91752,103438,107764,119734,122034,133044,131651,127826,128747,104558,85194,81939,108676,165287,171972,174033,180975,182769,187719,190738,197870,200576,204776,224661,213216,212072,215250,223035,230680,228283
90,13747,15271,15705,12878,15378,15642,18380,17742,19170,18625,18010,21358,20243,22147,21281,19824,23639,24071,27508,28992,24701,25216,25176,26717,26689,26248,26523,27524,29483,29102,43544,45254,44012,46445,47187,46838,48084,50154,54296,58333,53292,58060,57821,63075,67323,74022,77014,86673,90978,102157,105120,112437,109718,109202,108931,89890,73274,70209,93002,143230,147974,149299,156364,158541,160585,165541,170375,173875,178020,191492,183747,181529,186662,194750,202957
91,10612,12132,12293,9403,11600,11873,14278,13507,14726,14125,13316,16360,15160,16672,15804,14288,17460,18032,21153,22533,18816,19217,19190,20122,20227,20088,20506,21333,22706,22672,22200,23518,23256,24928,25769,25736,26942,28978,32067,35316,41525,43543,47162,46801,51705,55692,60885,63423,71633,75816,86191,87053,92056,91992,91175,91857,75706,61524,59066,78656,121814,124431,126828,133214,132910,136876,139570,145270,148233,148486,161497,153774,154597,159878,167835
92,8015,9559,9566,6687,8550,8808,10848,10014,11008,10489,9581,12294,11206,12327,11361,9942,12635,13067,15874,17093,13951,14251,14236,14727,14909,14971,15444,16119,17020,17226,16187,16606,16881,18143,19072,19205,20314,22105,24413,27270,30664,33175,34723,37634,37437,41687,44873,49035,51303,58455,62513,69959,69733,75803,74888,75505,75812,62592,50705,48904,65643,100196,103609,105794,109458,110993,112976,116481,121373,120185,122650,132164,128035,129759,135977
93,5934,7376,7314,4630,6115,6294,8020,7232,8017,7598,6755,9102,8080,8934,7957,6597,8854,9199,11646,12601,10033,10255,10251,10441,10658,10823,11298,11831,12388,12726,11449,11602,12134,12878,13781,14179,14987,16374,18128,20196,22522,23830,25840,27061,29530,29741,32627,35404,38941,40734,47236,49717,54699,56249,60543,60800,61376,61225,50506,41402,40015,52870,81437,84702,84966,89560,89705,92323,95283,96282,96940,97721,107470,104961,108144
94,4320,5572,5466,3120,4276,4378,5797,5068,5743,5324,4623,6516,5678,6289,5444,4235,5885,6230,8352,9140,6982,7138,7132,7157,7363,7569,8003,8408,8728,9113,7881,7692,8401,8907,9550,10195,10928,12155,13399,14985,16601,17085,18080,19731,20805,23003,22976,25078,27301,30493,32241,36605,37813,43209,43644,47796,48077,48553,48975,40342,33261,31384,41835,65141,66394,68087,70644,71496,73451,73213,75505,74594,77336,85870,85579
95,3034,4132,3973,2042,2904,2939,4116,3440,3994,3636,3008,4498,3889,4302,3620,2660,3793,4011,5855,6462,4688,4796,4794,4721,4901,5110,5473,5777,5940,6310,4902,4710,5295,5530,6166,6695,7226,8207,9117,10245,11589,12357,12765,13418,14757,15934,17477,17183,18981,21053,23363,24311,26954,28990,32507,33549,36704,36940,38091,38736,31728,25510,24229,32689,49341,51554,52226,54883,55649,54860,56055,56452,57443,60093,68577
96,2035,2984,2829,1276,1866,1918,2844,2281,2656,2399,1876,3047,2520,2880,2343,1610,2404,2498,4028,4423,3029,3093,3098,2995,3140,3320,3608,3823,3891,4216,2846,2607,3192,3307,3798,4228,4610,5429,5831,6595,7458,8508,9043,9133,9816,10997,11945,12962,12737,14403,16400,17254,17494,20055,21122,24346,25054,27290,28086,29780,30072,23522,19375,18513,24270,37624,38707,39836,41447,40293,40802,40632,42037,43317,46690
97,1305,2044,1978,751,1119,1197,1856,1451,1696,1495,1107,1968,1544,1834,1470,933,1487,1502,2693,2968,1879,1920,1925,1822,1926,2067,2281,2436,2450,2709,1565,1397,1727,1807,2097,2469,2712,3308,3580,4105,5035,5324,6036,6417,6391,6973,7777,8643,9421,9333,10981,11797,11980,12758,14071,15356,17559,18179,20203,21305,22796,21639,17158,14483,13246,17960,27307,28842,29302,29016,29171,28420,29371,30789,33081
98,796,1321,1283,401,633,675,1121,850,1021,871,605,1195,902,1099,860,507,863,865,1718,1933,1110,1138,1140,1057,1132,1234,1389,1482,1473,1672,805,698,905,944,1124,1362,1473,1861,2010,2337,3247,3524,3670,4122,4445,4413,4775,5411,6300,6920,6838,7643,7901,8505,8725,9888,10871,12349,12977,14740,15766,16125,15362,12386,10142,9607,12695,19650,20560,20113,20528,19836,20214,21210,22918
99,454,802,784,197,326,356,626,462,580,470,308,677,496,616,480,259,475,475,1043,1219,628,645,645,586,634,700,807,866,849,985,403,336,440,470,564,724,786,1003,1074,1229,2038,2190,2387,2497,2776,3049,2940,3167,3910,4636,4866,4702,4971,5411,5682,5945,6643,7469,8547,9207,10791,10705,11153,10728,8258,7145,6689,8985,13421,13635,13742,13403,13839,13994,15301
100,482,976,964,147,284,309,630,438,594,442,257,695,470,623,464,211,450,448,1225,1549,640,657,657,562,634,720,870,950,907,1115,302,229,345,368,482,649,703,922,960,1120,2852,3053,3273,3562,3690,4015,4377,4516,4765,5435,6121,7093,7200,8095,8538,9122,9575,10158,11297,13106,15435,16205,17252,18420,17698,16558,14984,14132,14804,17177,19714,20445,21211,22652,24710
